VESSEL_SEQ,VESSEL_CODE,NAME,PERMIT,ADFG_NUMBER,COAST_GUARD_NUMBER,LENGTH,COMMUNICATION_CODE,IGNORE_AUTOSYNC,AKR_PERSON_ID,RMD_ACTION,RMD_CHANGED_BY,RMD_CHANGE_COMMENT,RMD_TS_CHANGED,FFP_STATUS,IFQ_CDQ_LANDING,AKR_VESSEL_ID,VESSEL_CONTACT_SEQ
5490,39593,SEABOY,1188,39593,,36,0,N,1024,U,NORPAC,,07-Jan-15,,,1188,
5381,39598,SEA EAGLE,22973,39598,619107,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22973,
100456,39602,SPARTAN,19655,39602,607367,58,2,N,211,U,NORPAC,,30-Dec-13,A,,19655,1410
177,39604,ALEUTIAN,22153,39604,619962,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22153,
5494,39606,SEADANCE,10869,39606,615939,38,0,N,9200,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10869,
5801,39608,SNOW BREEZE,20184,39608,614273,33,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20184,
2337,39609,HEIDI II,22132,39609,615203,30,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22132,
1946,39611,FINALE,6002,39611,616817,34,0,N,2454,U,NORPAC,,07-Jan-15,,,6002,
6399,39617,TROIKA,7119,39617,619971,32,0,N,27212,U,NORPAC,,07-Jan-15,,,7119,
390,39618,ANTARES,861,39618,616341,46,0,N,826,U,NORPAC,,07-Jan-15,,,861,
5994,39619,DRIFTWOOD LADY,21935,39619,533137,37,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21935,
4681,39622,PASSAGE,17088,39622,620150,38,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,17088,
1720,39628,EARLY SET,12557,39628,619439,32,0,N,10941,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12557,
371,39635,KABOUTER,20531,39635,614714,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20531,
5264,39639,SALLY O II,20498,39639,616478,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20498,
2546,39648,IRONIC,21074,39648,620814,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21074,
1418,39650,DANCIA,4298,39650,615662,44,0,N,10942,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,4298,
5517,39660,SEAWARD,4283,39660,253508,47,0,N,990,U,NORPAC,,07-Jan-15,,,4283,
100141,3967,BEACH COMBER,26806,3967,,31,0,N,93661,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,26806,
2997,39671,KELLI SUE,24366,39671,617832,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24366,
5938,39676,STARDUSTER,12560,39676,620754,34,0,N,10944,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12560,
4289,39684,NIGHTHAWK,12561,39684,,32,0,N,10026,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12561,
1728,397,EASY RIDER,5468,397,531778,31,0,N,1133,U,NORPAC,,07-Jan-15,,,5468,
3243,39706,LADY LEE,2318,39706,,28,0,N,10945,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2318,
3136,39710,KRISTI LYNN,11118,39710,565138,36,0,N,9421,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11118,
5750,39715,SEAWORTHY,2735,39715,612619,30,0,N,,U,GCAMPBELL,,02-Nov-17,A,,2735,
4335,39728,NORDBY,505,39728,227622,72,0,N,1335,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,505,
1003,39737,CARLYNN,3717,39737,617246,55,2,N,42401,U,NORPAC,,28-Feb-13,A,,3717,709
3110,3974,KONA LADY,20803,3974,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20803,
4219,39740,NEKKA,13570,39740,608509,29,0,N,12015,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,13570,
843,39741,BRISTOL BEAR,32058,39741,619185,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,32058,
6397,39745,TRITON,25300,39745,964467,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,25300,
338,39748,ANGELA A,25274,39748,613246,29,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,25274,
4792,3977,K 4 PICKENS,11885,3977,,32,0,N,10360,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11885,
2670,39773,MISS EMMA,20765,39773,619473,32,0,N,27113,U,NORPAC,,07-Jan-15,,,20765,
2483,39778,IMMANUEL,14779,39778,822164,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,14779,
72,39785,AGRESSIVE,4519,39785,599855,34,0,N,2133,U,NORPAC,,07-Jan-15,,,4519,
4266,39786,FLOOD TIDE,21234,39786,616632,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21234,
6748,39799,WINDWARD,455,39799,274279,46,0,N,2832,U,NORPAC,,07-Jan-15,,,455,
1082,39807,CHADWICK-E,19736,39807,,28,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19736,
5506,39811,SEAJAY,25019,39811,617665,30,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,25019,
6635,39812,WAHOO,25038,39812,617095,32,0,N,,U,NORPAC,,07-Jan-15,,,25038,
3614,39813,MALACHI,3043,39813,615584,55,0,N,1287,U,NORPAC,,07-Jan-15,,,3043,
3306,39818,SHARA LYNN,19773,39818,618734,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19773,
980,39824,CAPT CRUNCH,24723,39824,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24723,
2597,39827,JACI LYNN,20128,39827,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20128,
4024,39829,MIZPAH,12564,39829,,32,0,N,10947,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12564,
5308,3984,ETHAN,13962,3984,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,13962,
6579,39840,VIGOR,12565,39840,617030,34,0,N,1545,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,12565,
6325,39846,TOMMY-TUK-A-LUK,24457,39846,617065,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24457,
2523,39847,INTREPID,25064,39847,620090,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,25064,
5279,39857,SAMSON II,22557,39857,612534,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22557,
6214,39861,TERRY ANN,24408,39861,617391,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24408,
2663,39867,JAY LOUISE,2966,39867,615980,47,0,N,1108,U,GCAMPBELL,,02-Nov-17,A,,2966,
1308,39870,CONSTANCE,2437,39870,614900,46,2,N,9326,U,NORPAC,,22-Apr-14,A,,2437,1244
2766,39880,JOHN M,24544,39880,,22,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24544,
4570,39881,OSLO,2487,39881,241473,48,0,N,9128,U,NORPAC,,06-Jan-15,,,2487,1101
6179,39889,TEMPEST,3229,39889,611985,257,0,N,8184,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,3229,
2854,3990,K 17,7092,3990,,32,0,N,3199,U,NORPAC,,07-Jan-15,,,7092,
5474,39907,SEA VENTURE 1,1893,39907,621187,43,0,N,832,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,1893,
4370,39912,NORTH LIGHT,1837,39912,619903,47,2,N,1378,U,NORPAC,,16-Jul-13,A,,1837,786
2855,3992,K 19,20804,3992,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20804,
642,39920,BELUKA,19985,39920,620040,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19985,
2975,39925,SPELLBOUND,1146,39925,569473,46,2,N,1963,U,NORPAC,,27-Jan-15,,,1146,4248
1060,39935,JESSITKA LIEN,18272,39935,617725,34,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18272,
1533,39941,DESIREE,12566,39941,618650,46,0,N,10949,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12566,
4945,39943,QUIXOTIC,3722,39943,618649,42,0,N,8980,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3722,
6099,39947,T L CEA,17380,39947,,30,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,17380,
4569,39948,OSAGE I,19912,39948,,24,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19912,
4656,39953,PALISADES,3669,39953,619893,32,0,N,10950,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3669,
2858,39958,K. ELAINE,19526,39958,631081,31,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19526,
4353,3996,NORMA L,6166,3996,,26,0,N,2937,U,NORPAC,,07-Jan-15,,,6166,
1651,39973,DR JACK,23492,39973,615597,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,23492,
4277,39983,NICKO-BAE,11091,39983,620722,32,0,N,1368,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11091,
6409,39994,TUBBY,23635,39994,,24,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,23635,
4828,40,POLAR STAR,2512,40,555380,58,2,N,497,U,NORPAC,,03-Apr-14,A,,2512,1172
353,40000,ANN MARIE,5814,40000,617723,38,0,N,2478,U,GCAMPBELL,,02-Nov-17,A,,5814,
2974,40004,KAY & DEE,4057,40004,,32,0,N,1803,U,NORPAC,,07-Jan-15,,,4057,
1586,40007,DOLCEVITA,25035,40007,621637,32,0,N,34523,U,NORPAC,,07-Jan-15,,,25035,
5016,40016,RAW,5896,40016,,21,0,N,1545,U,NORPAC,,07-Jan-15,,,5896,
3767,40018,MAYME,5903,40018,252785,37,0,N,9208,U,NORPAC,,07-Jan-15,,,5903,
865,40026,BROWN SUGAR,11140,40026,620957,32,0,N,23617,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11140,
139,40029,ALASKAN PACIFIC,23608,40029,280541,70,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,23608,
1449,40030,DAWN KEY,16818,40030,,34,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,16818,
4447,40031,BEAR FOX,12571,40031,945243,34,0,N,10953,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12571,
1191,4007,CHRISTI,3082,4007,532264,38,0,N,8516,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3082,
233,40070,ALLURE,5411,40070,621075,48,0,N,46026,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,5411,
1777,40072,ELIZABETH,4472,40072,593780,47,0,N,10955,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,4472,
3927,40102,MISS CLAUDINE,6101,40102,621748,34,0,N,2837,U,GCAMPBELL,,02-Nov-17,A,,6101,
3587,40105,MAGGIE LYNN,22535,40105,620740,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22535,
6391,40118,TRINKET,2499,40118,583728,52,2,N,33828,U,NORPAC,,23-Jun-14,A,,2499,592
198,40128,ALEUTIAN SPIRIT,2743,40128,621542,58,2,N,39,U,NORPAC,,01-Oct-18,A,,2743,1215
3417,40129,LISA JEAN,3560,40129,622148,58,2,N,843,U,NORPAC,,21-Apr-14,A,,3560,1045
1382,40130,CUB POINT,2066,40130,609039,45,2,N,851,U,NORPAC,,28-Jan-15,A,,2066,1290
5281,40132,SAN JUAN,4915,40132,609040,44,2,N,826,U,NORPAC,,17-Mar-15,A,,4915,995
3689,40159,MARK I,12577,40159,,16,0,N,10959,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12577,
1594,4017,BEAR PAW,11054,4017,539527,34,0,N,9367,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11054,
4677,40171,PARAGON,23917,40171,621639,39,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,23917,
4255,40177,NEW LIFE,13576,40177,620282,29,0,N,12017,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,13576,
1597,40179,DOLPHIN,2534,40179,617539,50,2,N,47512,U,NORPAC,,12-Feb-15,A,,2534,737
5919,40207,STA LITE,5626,40207,916516,36,0,N,724,U,NORPAC,,07-Jan-15,,,5626,
2671,4021,JEANELLE,1466,4021,539951,50,0,N,882,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,1466,
3364,40235,LI'L JEANNE,19074,40235,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19074,
3944,40240,MISS FLORENCE,21043,40240,,26,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21043,
4877,40243,PROGRAM,20054,40243,679220,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20054,
4284,40246,NIGHT STALKER,11010,40246,621111,36,0,N,9325,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11010,
6064,40248,SUSIE LYNN,12578,40248,621309,41,0,N,10960,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12578,
5008,40252,RAVEN,2782,40252,618788,57,2,N,89,U,NORPAC,,26-Feb-14,A,,2782,919
101763,40253,DRYAS,10752,40253,,36,0,E,,U,NORPAC,,16-Oct-18,,,10752,
5507,4026,SEAL CAPE,920,4026,539235,38,0,N,44217,U,NORPAC,,07-Jan-15,,,920,
1938,40265,FIASCO,20714,40265,619970,32,0,N,26469,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,20714,
201,40273,ALEUTIAN SUN,16247,40273,623332,57,2,N,43340,U,NORPAC,,22-Apr-14,A,,16247,1357
6405,40275,TSADE,1329,40275,,29,0,N,10962,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,1329,
4757,40282,PEREGRINE,1561,40282,604588,52,2,N,31461,U,NORPAC,,09-Jun-15,A,,1561,4304
5218,40294,RRRRR,2061,40294,622765,36,0,N,8709,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2061,
5058,40296,REEL DEEL,24375,40296,622531,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24375,
2081,40307,GARLON,11361,40307,594011,33,0,N,9653,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11361,
1546,40310,DESTINY,14910,40310,615508,49,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,14910,
4919,40312,PURSUIT,1190,40312,270988,97,0,N,508,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,1190,
512,40346,ATTU,18223,40346,615955,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18223,
3299,40353,PJB,14475,40353,,22,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,14475,
528,40368,AURORA DAWN,5864,40368,,31,0,N,2162,U,NORPAC,,07-Jan-15,,,5864,
751,40373,BLUE JAY,10171,40373,619711,37,0,N,8556,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10171,
5237,40377,KELSEA MARIE,688,40377,623305,36,0,N,1020,U,NORPAC,,07-Jan-15,,,688,
100367,40393,MY GRANDKIDS,6119,40393,620284,42,2,N,12980,U,NORPAC,,13-Jul-15,,,6119,4261
101820,40396,TENACIOUS,33910,40396,,48,0,E,,U,NORPAC,,16-Oct-18,,,33910,
261,40413,AMANDA DAWN,2467,40413,622860,47,0,N,,U,NORPAC,,27-Jan-15,,,2467,4154
6070,40438,JANAE,5278,40438,618783,42,0,N,1085,U,NORPAC,,07-Jan-15,,,5278,
1717,40481,YELLIN MAN,24645,40481,619472,28,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24645,
5143,40484,SYDNEY ANN,24799,40484,620840,44,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24799,
1708,40495,EAGLE,16136,40495,618854,34,0,N,26000,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,16136,
6584,405,VIKING,17957,405,276959,96,0,N,8184,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,17957,
6143,40504,TANNER J,4902,40504,603982,40,0,N,2700,U,NORPAC,,07-Jan-15,,,4902,
2042,40512,FREYA,1669,40512,625406,36,0,N,1226,U,NORPAC,,07-Jan-15,,,1669,
1145,40526,CHENARA DAWN,12585,40526,582397,36,0,N,10680,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12585,
490,40555,ATLAS,4728,40555,623158,47,0,N,715,U,NORPAC,,07-Jan-15,,,4728,
4511,4056,OCTOBER,11662,4056,528760,40,0,N,9938,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11662,
3514,40575,LOU & MOE,14640,40575,621480,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,14640,
3016,40576,KENO,11537,40576,622528,34,0,N,9815,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11537,
1165,40580,CHILKAT,4293,40580,621667,32,0,N,9049,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,4293,
4851,40600,PRECISION,23213,40600,624237,38,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,23213,
708,40631,BILOXI QUEEN,773,40631,617867,52,0,N,1396,U,martin.park,populating vessel_contact_seq after creating the column.,19-Oct-12,A,,773,1209
1774,40642,ELEVENTH HOUR,18995,40642,622527,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18995,
6010,40645,SUN DRAGON,5012,40645,250944,132,0,N,2764,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,5012,
1631,40701,DOROTHY H II,1015,40701,268440,40,0,N,8445,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,1015,
3966,40729,MISS LINDSAY,1914,40729,607945,58,0,N,2409,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,1914,
4189,40742,NANCY LOUISE,4668,40742,623021,48,0,N,2160,U,NORPAC,,07-Jan-15,,,4668,
3949,40745,MISS HEATHER,2167,40745,623794,42,0,N,9641,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2167,
6004,40761,SUMMER BREEZE,12588,40761,623258,42,0,N,10969,U,NORPAC,,12-Feb-15,,,12588,4336
48,40762,ADVANCER,4628,40762,621168,58,2,N,13004,U,NORPAC,,28-Jan-13,A,,4628,986
2038,40795,FREEDOM,5183,40795,623020,45,0,N,10970,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,5183,
6187,40817,TEMPO SEA,4563,40817,620538,135,0,N,41633,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,4563,
6255,40847,THREE BEARS,22991,40847,,20,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22991,
3156,40848,KULSHAN,6054,40848,548274,48,0,N,9475,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,6054,
4157,40907,MYSTERY BAY,3092,40907,533122,58,0,N,1376,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,3092,
5306,40911,SECOND WIND,5748,40911,622330,42,0,N,1255,U,NORPAC,,13-Jan-15,A,,5748,
6343,4093,TOON,14914,4093,533625,32,0,N,23712,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,14914,
340,40936,ANGELA CAROL,1788,40936,500833,77,0,N,10142,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,1788,
4825,40937,POLAR PRINCE,1899,40937,524779,72,0,N,10973,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,1899,
6406,40961,TSIU,1697,40961,609654,58,2,N,2638,U,NORPAC,,28-Apr-16,A,,1697,649
6771,40974,WOOLY BEAR,11359,40974,624900,32,0,N,9651,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11359,
1765,40975,ELEANOR FRANCIS,2848,40975,583563,36,0,N,9570,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2848,
357,40989,KILLIN TIME,856,40989,624902,48,0,N,1299,U,NORPAC,,07-Jan-15,,,856,
2603,4099,PAIGE MARIE,324,4099,539990,56,0,N,9074,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,324,
4079,41009,MORNING STAR,7270,41009,618797,87,0,N,493,U,martin.park,populating vessel_contact_seq after creating the column.,19-Oct-12,A,,7270,523
953,41015,CAPE ENCHANTMENT,6273,41015,624981,37,0,N,3102,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,6273,
6592,41022,VIKING MAID,3861,41022,585187,58,2,N,2345,U,NORPAC,,07-Apr-14,A,,3861,573
4834,41028,POLLY ANNA III,11472,41028,634176,32,0,N,9754,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11472,
2543,41032,IRON LADY,526,41032,618440,83,0,N,286,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,526,
169,41035,ALEUT MISTRESS,2348,41035,627816,58,0,N,423,U,NORPAC,,09-Feb-15,A,,2348,1053
2696,41043,JENNIFER LEE,2867,41043,625301,58,2,N,296,U,NORPAC,,08-May-14,A,,2867,889
2843,41044,JUST IN CASE,4212,41044,609038,58,2,N,987,U,NORPAC,,06-Jan-14,A,,4212,529
4664,41045,PAMELA KAY,11171,41045,626139,48,0,N,9471,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11171,
2891,41046,KAPTURE,1184,41046,620438,42,0,N,9151,U,NORPAC,,07-Jan-15,,,1184,
5447,41050,SEA RANGER,16355,41050,986417,31,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,16355,
111,41052,ALASKA PACKER,3230,41052,621200,327,0,N,8184,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,3230,
2769,41056,PACIFIC GRACE,1819,41056,625595,58,0,N,45900,U,NORPAC,,10-Jun-15,X,,1819,987
3797,41073,MELODEE DAWN,11170,41073,628643,70,0,N,9470,U,martin.park,populating vessel_contact_seq after creating the column.,19-Oct-12,,,11170,1741
3456,41081,LITTLE SHRIMP 3,15417,41081,,20,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,15417,
4035,41082,SEA FEVER,5078,41082,636067,40,0,N,43078,U,NORPAC,,07-Jan-15,,,5078,
2688,41086,JENNIE LEIGH,5770,41086,255778,34,0,N,2416,U,NORPAC,,07-Jan-15,,,5770,
5015,41104,RAVENS' FIRE,702,41104,627468,60,0,N,9819,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,702,
1988,41109,FLOWER GIRL,25437,41109,628631,32,0,N,46899,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,25437,
5399,41126,NOMAD,14754,41126,628995,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,14754,
101836,41129,LADY SAVAGE,10029,41129,,40,0,E,,U,NORPAC,,16-Oct-18,,,10029,
1745,41133,EGAVIK,21351,41133,,22,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21351,
3289,41145,LARISSA MARIE,18880,41145,,30,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18880,
5342,41161,DEM BOYS,18691,41161,617317,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18691,
2874,41167,KALA,3546,41167,,37,0,N,10977,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3546,
4812,41174,WEST RIP,5032,41174,628109,35,0,N,1654,U,NORPAC,,07-Jan-15,,,5032,
